State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"TN","Gallatin","3403","GCT1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gallatin","3403","GCT2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gallatin","3403","GCT3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","7.0","276.0",,"0.001","0.488","0.931","225.3","3816.0","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gallatin","3403","GCT4",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","7.0","275.0",,"0.001","0.488","0.934","226.0","3828.5","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gallatin","3403","GCT5",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","47.83","3069.43",,"0.02","0.0389","0.716","2356.245","39519.717","4",,"Combustion turbine","Diesel Oil",
"TN","Gallatin","3403","GCT6",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","47.83","3014.12",,"0.022","0.0348","0.625","2337.501","39179.289","4",,"Combustion turbine","Diesel Oil",
"TN","Gallatin","3403","GCT7",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"4",,"Combustion turbine","Diesel Oil",
"TN","Gallatin","3403","GCT8",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","47.73","3622.34",,"0.023","0.0312","0.619","2651.316","44460.629","4",,"Combustion turbine","Diesel Oil",
"TN","Gleason Generating Facility","55251","CTG-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","16.51","2019.41",,"0.007","0.0913","1.033","1396.636","23503.773","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gleason Generating Facility","55251","CTG-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","67.82","11348.0",,"0.036","0.0753","4.561","7188.112","120948.898","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Gleason Generating Facility","55251","CTG-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","11.74","1278.57",,"0.005","0.0932","0.646","941.099","15835.708","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","John Sevier","3405","JCC1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","579.72","142903.58",,"0.295","0.0111","4.989","58525.668","984814.128","4","SERC","Combined cycle","Pipeline Natural Gas",
"TN","John Sevier","3405","JCC2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","744.0","180472.0",,"0.375","0.0093","5.823","74336.3","1250850.2","4","SERC","Combined cycle","Pipeline Natural Gas",
"TN","John Sevier","3405","JCC3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","744.0","182050.0",,"0.376","0.0108","6.761","74527.7","1254067.1","4","SERC","Combined cycle","Pipeline Natural Gas",
"TN","Johnsonville","3406","1"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","286.75","22253.5",,"55.514","0.1501","18.745","26023.755","249756.85","4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","10"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Dry bottom wall-fired boiler","Coal",
"TN","Johnsonville","3406","2"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","59366.0",,"144.723","0.1331","44.722","70297.173","674659.4","4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","3"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","56308.0",,"137.314","0.1331","42.381","66698.122","640118.3","4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","4"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","613.81","46686.07",,"113.416","0.1299","34.287","55568.634","533304.9","4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","5"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","6"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Tangentially-fired","Coal",
"TN","Johnsonville","3406","7"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Dry bottom wall-fired boiler","Coal",
"TN","Johnsonville","3406","8"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Dry bottom wall-fired boiler","Coal",
"TN","Johnsonville","3406","9"," CSJO10","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"4",,"Dry bottom wall-fired boiler","Coal",
"TN","Johnsonville","3406","JCT1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","4.0","21.0",,"0.0","0.395","0.067","20.1","340.4","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT10",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT11",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT12",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT13",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT14",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT15",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT16",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT17",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","63.86","4252.79",,"0.015","0.0263","0.61","3014.746","50726.758","4",,"Combustion turbine","Diesel Oil",
"TN","Johnsonville","3406","JCT18",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","64.01","4194.31",,"0.015","0.0311","0.736","3014.54","50727.411","4",,"Combustion turbine","Diesel Oil",
"TN","Johnsonville","3406","JCT19",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","62.89","4554.35",,"0.016","0.0375","0.95","3214.645","54086.386","4",,"Combustion turbine","Diesel Oil",
"TN","Johnsonville","3406","JCT2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","2.0","22.0",,"0.087","0.645","0.112","28.2","348.5","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT20",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"4",,"Combustion turbine","Diesel Oil",
"TN","Johnsonville","3406","JCT3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","17.0","773.0",,"0.003","0.395","2.079","621.6","10526.6","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT4",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","17.0","781.0",,"0.003","0.395","2.107","629.6","10667.0","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT5",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","20.0","672.0",,"0.111","0.4106","1.852","547.1","9101.8","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT6",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","19.0","790.0",,"0.025","0.4212","2.242","668.6","11297.0","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT7",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.0","18.0",,"0.052","0.645","0.067","16.8","207.0","4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT8",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Johnsonville","3406","JCT9",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"TN","Kingston","3407","1"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","62132.0",,"22.518","0.0776","25.992","69384.136","668828.0","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","2"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","643.16","54224.92",,"19.587","0.0777","22.009","59684.48","575327.27","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","3"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","63247.0",,"23.014","0.0776","26.388","70641.491","680948.3","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","4"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","498.9","41670.97",,"15.035","0.0768","17.005","45959.372","443024.448","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","5"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","295.21","32935.92",,"13.192","0.0824","13.857","36364.834","350537.1","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","6"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","565.69","55445.05",,"22.145","0.0776","22.657","60845.594","586523.054","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","7"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","379.42","35834.39",,"15.435","0.0743","14.27","40083.115","386380.275","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","8"," CSN19, CSS19, CSKI15, CSKI69","5","2016","CSNOX, ARP, MATS, CSNOXOS, CSSO2G1","469.33","55461.58",,"19.945","0.0765","22.416","60785.216","585938.616","4","SERC","Tangentially-fired","Coal",
"TN","Kingston","3407","9"," CSN19, CSS19, CSKI15, CSKI69","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","13.5","13.5",,"0.007","0.0769","0.006","17.202","165.832","4","SERC","Tangentially-fired","Coal",
"TN","Lagoon Creek","7845","LCC1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","417.53","102535.14",,"0.186","0.0194","4.301","36912.581","621120.067","4",,"Combined cycle","Pipeline Natural Gas",
"TN","Lagoon Creek","7845","LCC2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","415.43","88477.13",,"0.186","0.0202","4.484","36752.659","618431.878","4",,"Combined cycle","Pipeline Natural Gas",
"TN","Lagoon Creek","7845","LCT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","7.12","520.52",,"0.016","0.0494","0.128","379.182","6157.942","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT10",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","125.98","9002.98",,"0.012","0.0311","0.179","706.828","11764.393","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT11",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","84.25","6032.84",,"0.028","0.0329","1.018","4242.712","71294.42","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT12",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","83.98","6004.64",,"0.032","0.0285","0.843","4263.231","71580.957","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","5.36","394.34",,"0.001","0.045","0.085","275.744","4641.754","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","116.23","8250.9",,"0.03","0.0295","1.331","5946.288","100060.203","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","119.93","8504.13",,"0.032","0.0318","1.473","6256.273","105264.27","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT7",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","114.83","8182.28",,"0.029","0.0261","1.128","5766.906","97038.719","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","114.07","7975.16",,"0.029","0.0317","1.393","5679.485","95565.733","4",,"Combustion turbine","Diesel Oil",
"TN","Lagoon Creek","7845","LCT9",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","84.03","5955.79",,"0.014","0.0383","0.158","489.12","8057.416","4",,"Combustion turbine","Diesel Oil",
"TX","Alex Ty Cooke Generating Station","3602","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"TX","Alex Ty Cooke Generating Station","3602","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"TX","Antelope Elk Energy Center","57865","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","18.15","1691.4",,"0.006","0.0345","0.248","1213.509","20424.448","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Antelope Elk Energy Center","57865","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","37.88","5807.89",,"0.017","0.0332","0.705","3465.262","58306.003","6",,"Combustion turbine (Started Apr 14, 2016)","Pipeline Natural Gas",
"TX","Antelope Elk Energy Center","57865","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","25.52","3428.73",,"0.011","0.0956","1.751","2100.392","35343.7","6",,"Combustion turbine (Started Apr 18, 2016)","Pipeline Natural Gas",
"TX","Barney M. Davis","4939","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","126.6","10414.04",,"0.04","0.1008","11.238","7928.379","133411.64","6","ERCOT","Tangentially-fired","Pipeline Natural Gas",
"TX","Barney M. Davis","4939","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","0.0",,,,,,,,"6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Barney M. Davis","4939","4",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","0.0",,,,,,,,"6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Bastrop Clean Energy Center","55168","CTG-1A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","151045.0",,"0.322","0.0304","16.327","63776.6","1073166.0","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Bastrop Clean Energy Center","55168","CTG-1B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","152872.0",,"0.328","0.0306","16.74","64965.2","1093169.0","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Big Brown","3497","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","89.63","29446.0",,"172.609","0.1222","20.982","33436.985","307127.59","6","ERCOT","Tangentially-fired","Coal",
"TX","Big Brown","3497","2",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","543.79","192844.15",,"1465.079","0.1215","124.231","217844.917","2000958.99","6","ERCOT","Tangentially-fired","Coal",
"TX","Bosque County Power Plant","55172","GT-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","621.7","142756.81",,"0.288","0.0121","4.81","57081.758","960504.125","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Bosque County Power Plant","55172","GT-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","690.85","160320.03",,"0.323","0.0103","5.208","63928.826","1075696.624","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Bosque County Power Plant","55172","GT-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","666.77","92725.73",,"0.3","0.0253","12.109","59501.491","1001214.423","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Calpine Hidalgo Energy Center","7762","HRSG1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","514.95","105554.44",,"0.224","0.0345","12.856","44392.351","746995.391","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Calpine Hidalgo Energy Center","7762","HRSG2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","309.17","63491.57",,"0.135","0.0315","7.18","26698.41","449260.835","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Cedar Bayou","3460","CBY1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","59.8","9890.02",,"0.029","0.0309","1.369","5775.298","97177.154","6","ERCOT","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"TX","Cedar Bayou","3460","CBY2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","52.4","11740.0",,"0.035","0.0546","4.483","6880.24","115765.7","6","ERCOT","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"TX","Cedar Bayou 4","56806","CBY41",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","218.25","30220.54",,"0.102","0.0263","2.984","20287.049","341365.056","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Cedar Bayou 4","56806","CBY42",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","329.85","43735.14",,"0.148","0.0257","4.435","29319.645","493365.343","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Channelview Cogeneration Facility","55187","CHV1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","198422.0",,"0.412","0.0119","8.15","81663.0","1374125.0","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Channelview Cogeneration Facility","55187","CHV2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","690.73","177946.38",,"0.369","0.0123","7.415","73172.837","1231266.482","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Channelview Cogeneration Facility","55187","CHV3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","199493.0",,"0.426","0.0109","7.732","84308.7","1418639.2","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Channelview Cogeneration Facility","55187","CHV4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","546.62","133055.8",,"0.269","0.0113","4.965","53228.932","895662.044","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Coleto Creek","6178","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","441.08","197814.0",,"431.907","0.126","126.32","210324.336","2005377.14","6","ERCOT","Tangentially-fired","Coal",
"TX","Colorado Bend Energy Center","56350","CT1A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","731.14","67857.15",,"0.169","0.0135","3.699","33440.933","562696.859","6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Colorado Bend Energy Center","56350","CT1B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","732.8","67587.45",,"0.167","0.0141","3.745","33076.07","556553.31","6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Colorado Bend Energy Center","56350","CT2A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","735.4","66203.45",,"0.162","0.0144","3.805","32104.755","540225.985","6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Colorado Bend Energy Center","56350","CT2B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","735.45","65934.88",,"0.159","0.014","3.606","31559.978","531071.242","6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Copper Station","9","CTG-1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","20.6","541.68",,"0.003","0.2751","1.504",,"10441.833","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Cottonwood Energy Project","55358","CT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SERC","Combined cycle","Pipeline Natural Gas",
"TX","Cottonwood Energy Project","55358","CT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SERC","Combined cycle","Pipeline Natural Gas",
"TX","Cottonwood Energy Project","55358","CT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SERC","Combined cycle","Pipeline Natural Gas",
"TX","Cottonwood Energy Project","55358","CT4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"6","SERC","Combined cycle","Pipeline Natural Gas",
"TX","Decker Creek","3548","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","126.4","12995.13",,"0.042","0.1215","8.935","8340.125","140339.584","6","ERCOT","Tangentially-fired","Pipeline Natural Gas",
"TX","Decker Creek","3548","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","263.73","30135.79",,"0.161","0.1181","18.526","20128.915","338700.119","6","ERCOT","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-1A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","5.75","101.78",,"0.0","0.7003","0.704",,"2012.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-1B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","4.61","104.99",,"0.0","0.7","0.565",,"1613.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-2A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","5.13","113.97",,"0.001","0.7001","0.629",,"1795.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-2B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","5.18","104.04",,"0.001","0.7001","0.635",,"1813.0","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-3A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","6.45","139.91",,"0.001","0.7001","0.79",,"2257.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-3B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","6.49","145.56",,"0.001","0.7001","0.795",,"2271.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-4A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","8.17","170.17",,"0.001","0.7","1.001",,"2859.5","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decker Creek","3548","GT-4B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","8.8","175.2",,"0.001","0.7003","1.078",,"3080.0","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decordova","8063","CT1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","6.64","312.78",,"0.001","0.408","0.855",,"4190.7","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decordova","8063","CT2",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","2.87","144.68",,"0.001","0.4083","0.445",,"2182.9","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decordova","8063","CT3",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","0.07","0.07",,"0.0","0.408","0.035",,"170.0","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Decordova","8063","CT4",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","0.2","0.2",,"0.0","0.41","0.008",,"41.0","6","ERCOT","Combustion turbine","Pipeline Natural Gas",
"TX","Ector County Energy Center","58471","CT-1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","56.2","6168.44",,"0.098","0.0499","1.075","4323.311","72742.52","6",,"Combustion turbine","Natural Gas",
"TX","Ector County Energy Center","58471","CT-2",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","25.1","2617.9",,"0.044","0.0529","0.518","1920.869","32323.712","6",,"Combustion turbine","Natural Gas",
"TX","Ennis Power Company, LLC","55223","GT-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","200694.0",,"0.431","0.0251","17.938","85353.2","1436244.2","6","ERCOT","Combined cycle","Pipeline Natural Gas",
"TX","Exelon Laporte Generating Station","55365","GT-1"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","58.8","2034.42",,"0.008","0.3419","2.83","1578.2","26765.2","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Exelon Laporte Generating Station","55365","GT-2"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","52.89","1828.23",,"0.007","0.333","2.216","1418.6","24053.1","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Exelon Laporte Generating Station","55365","GT-3"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","56.02","1887.41",,"0.008","0.2731","1.885","1465.1","24831.5","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Exelon Laporte Generating Station","55365","GT-4"," CP1","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","55.81","1907.71",,"0.008","0.3043","2.148","1479.2","25097.8","6",,"Combustion turbine","Pipeline Natural Gas",
"TX","Forney Power Plant","55480","U1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","538.82","95929.47",,"0.302","0.043","17.479","59896.966","1007886.537","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Forney Power Plant","55480","U2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","544.86","98431.77",,"0.31","0.0375","16.701","61417.831","1033626.847","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Forney Power Plant","55480","U3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","520.54","94673.64",,"0.297","0.0414","17.653","58803.914","989506.735","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Forney Power Plant","55480","U4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","622.38","109322.56",,"0.345","0.0403","19.548","68272.485","1148819.549","6",,"Combined cycle","Pipeline Natural Gas",
"TX","Forney Power Plant","55480","U5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","618.79","109534.19",,"0.342","0.0365","18.772","67770.244","1140340.2","6",,"Combined cycle","Pipeline Natural Gas",
